Marca_Temporal;ID;Sexo;Edad;P_1;P_2;P_3;P_4;P_5;P_6;P_7;P_8;SUMA;CLUSTER;NIVEL_SATISFACCION
10/02/2024 19:35:59;20200330;Maculino;21;2;2;2;2;2;4;4;4;22;1;SATISFACCIÓN ALTA
10/03/2024 01:01:47;20210840;Maculino;21;2;2;2;3;3;1;2;2;17;3;SATISFACCIÓN MEDIA
10/03/2024 02:55:34;20210853;Femenino;23;3;2;3;2;2;3;2;3;20;1;SATISFACCIÓN ALTA
10/03/2024 07:15:59;20220793;Femenino;24;2;3;1;1;2;4;3;5;21;1;SATISFACCIÓN ALTA
10/03/2024 09:05:03;20210797;Maculino;24;1;2;3;1;2;2;2;4;17;3;SATISFACCIÓN MEDIA
10/03/2024 19:21:28;20211790;Maculino;23;2;1;2;2;2;3;2;3;17;3;SATISFACCIÓN MEDIA
10/03/2024 21:56:50;20211847;Femenino;22;2;2;1;3;1;1;2;3;15;2;SATISFACCIÓN BAJA
10/03/2024 23:26:22;20211849;Femenino;23;3;3;1;3;2;2;3;3;20;1;SATISFACCIÓN ALTA
10/03/2024 23:33:02;20220747;Maculino;21;3;2;3;1;3;3;4;5;24;1;SATISFACCIÓN ALTA
10/04/2024 06:40:54;20221371;Maculino;22;2;3;3;2;1;3;4;2;20;1;SATISFACCIÓN ALTA
10/04/2024 06:45:59;20211830;Maculino;20;2;2;3;2;2;1;4;4;20;1;SATISFACCIÓN ALTA
10/04/2024 10:39:26;20210836;Femenino;20;2;3;3;1;1;3;4;2;19;3;SATISFACCIÓN MEDIA
10/04/2024 12:07:14;20210831;Femenino;20;1;2;1;1;2;4;3;5;19;3;SATISFACCIÓN MEDIA
10/04/2024 12:10:31;20211777;Maculino;24;1;2;1;2;3;2;4;2;17;3;SATISFACCIÓN MEDIA
45569.532407407409;20210839;Maculino;22;2;3;2;3;3;4;3;2;22;1;SATISFACCIÓN ALTA
45569.602141203701;20201411;Femenino;23;2;2;2;3;3;2;3;4;21;1;SATISFACCIÓN ALTA
45569.772858796299;20210810;Maculino;23;2;2;3;2;2;3;2;5;21;1;SATISFACCIÓN ALTA
